bstopnm,geometry,ADM_NM
서광교회,POINT (129.0511583333 35.1405433333),범일1동
범일초등학교,POINT (129.0490066667 35.1406983333),범일1동
삼화약국,POINT (129.0487933333 35.1433733333),범일1동
삼화약국,POINT (129.0485916667 35.1435233333),범일1동
범일초등학교,POINT (129.048884566147 35.140602537661),범일1동
범일초등학교,POINT (129.0488684965 35.1402460466),범일1동
범일초등학교,POINT (129.0488521814 35.1399088672),범일1동
성북고개,POINT (129.04816 35.138795),범일1동
범곡교차로,POINT (129.056701 35.142082),범일1동
성북고개,POINT (129.0477983333 35.1382233333),좌천동
좌천할인마트.서린엘마르더뷰,POINT (129.047000416464 35.136724680015),수정5동
좌천동농심가슈퍼,POINT (129.0472966667 35.1368433333),좌천동
수정삼거리,POINT (129.04568 35.1353483333),수정5동
수정삼거리,POINT (129.04563 35.1352666),수정5동
수정삼거리,POINT (129.0451233333 35.135365),수정5동
수정삼거리,POINT (129.044517338805 35.13524664817),수정5동
수정5동,POINT (129.0446783333 35.1340216667),수정5동
수정5동,POINT (129.045105925575 35.133917603766),수정5동
수정성당입구,POINT (129.046115 35.1323283333),좌천동
수정초등학교,POINT (129.046995 35.1313666667),좌천동
수성초등학교,POINT (129.042705 35.1339116667),수정5동
수성초등학교,POINT (129.042519118398 35.133874523188),수정5동
동여중,POINT (129.042245 35.1323216667),수정2동
동여중,POINT (129.0419516667 35.131845),수정2동
수정2동,POINT (129.04061 35.1303016667),수정2동
수정2동,POINT (129.04121 35.1295533333),수정2동
수정아파트,POINT (129.040875 35.12719),수정4동
수정아파트,POINT (129.04105618741 35.127262841266),수정4동
묘심사,POINT (129.03943 35.1265133333),수정4동
부산서중학교,POINT (129.035755481689 35.125936557942),수정1동
부산서중학교,POINT (129.034879829576 35.126159314471),초량6동
부산서중학교,POINT (129.035342027396 35.12599072256),초량6동
초량6동,POINT (129.0348466667 35.12421),초량6동
초량6동,POINT (129.034638376065 35.124246739563),초량6동
부산컴퓨터과학고교,POINT (129.0338733333 35.1222383333),초량6동
부산컴퓨터과학고교,POINT (129.033535 35.122025),초량6동
