관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
16076, ,신정초교, , ,교차로,기장군,기장군 정관읍 정관3로 14,35.32825523,129.1668263,2023-07-25
16077, ,장안도예촌 삼거리, , ,교차로,기장군,기장군 장안읍 기룡리 821-4,35.35758456,129.2506155,2023-07-25
16078, ,정관신도시(A-19BL), , ,교차로,기장군,기장군 정관읍 산단2로 60,35.31851651,129.1848319,2023-07-25
16079, ,동일스위트 3차 후문(317동앞), , ,교차로,기장군,기장군 정관읍 모전1길 9,35.337363,129.1645374,2023-07-25
16080, ,장보고 숯불갈비, , ,교차로,기장군,기장군 기장읍 청강리 779-6,35.21749369,129.2128074,2023-07-25
16081, ,대변골프비치 앞, , ,교차로,기장군,기장군 기장읍 대변리 503-2,35.22995671,129.222045,2023-07-25
16082, ,정관이진아파트 후문, , ,교차로,기장군,기장군 정관읍 정관7로 3,35.32239806,129.1759473,2023-07-25
16083, ,정관이진아파트 정문, , ,교차로,기장군,기장군 정관읍 정관로 545,35.32230083,129.1748241,2023-07-25
16084, ,명례일반산업단지 1번신호등, , ,교차로,기장군,기장군 장안읍 명례리 898,35.36846588,129.2538867,2023-07-25
16085, ,명례일반산업단지 2번신호등, , ,교차로,기장군,기장군 장안읍 명례산단3로 9,35.36804227,129.2556188,2023-07-25
16086, ,명례일반산업단지 3번신호등, , ,교차로,기장군,기장군 장안읍 명례리 924-1,35.36935699,129.2557382,2023-07-25
16087, ,명례일반산업단지 4번신호등, , ,교차로,기장군,기장군 장안읍 명례산단5로 56,35.37078013,129.2540986,2023-07-25
16088, ,명례일반산업단지 5번신호등, , ,교차로,기장군,기장군 장안읍 명례산단3로 59,35.37334911,129.2540834,2023-07-25
16089, ,죽성리 신앙촌 입구, , ,교차로,기장군,기장군 기장읍 죽성리 산35-41,35.24441205,129.2382376,2023-07-25
16090, ,정관119안전센터, , ,단일로,기장군,기장군 정관읍 용수로7,35.32481991,129.1799308,2023-07-25
16091, ,부산신소재산업단지 #1, , ,교차로,기장군,기장군 장안읍 반룡리 산47-1 주변,35.34012918,129.2684085,2023-07-25
16092, ,부산신소재산업단지 #2, , ,교차로,기장군,기장군 장안읍 반룡리 산47-1 주변,35.34012918,129.2684085,2023-07-25
16093, ,부산신소재산업단지 #3, , ,교차로,기장군,기장군 장안읍 반룡리 산47-1 주변,35.34012918,129.2684085,2023-07-25
