구군명,위도,경도,총합계,데이터기준일자,위치명,구간시점,구간종점,식재거리 km,메타세콰이아,칠엽수,중국단풍,팽나무,튤립나무,단풍나무,벽오동,대왕참나무,감나무,산딸나무,모과나무,왕벚나무,느티나무,버즘나무,양버즘,이팝나무,회화나무,모감주,계수나무,가죽나무,황벽나무,수양버들,복자기,느릅나무,대추나무,후박나무,먼나무,해송,가시나무,구실잣밤나무,개잎갈나무,녹나무,참식,주목,아왜나무,은행나무,가이즈카향나무,기타나무
남구,35.1509676,129.091161,64,2024-08-20,부산광역시 남구 황령대로319번길,경동메르빌아파트,장백아파트,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,
남구,35.138214,129.0833397,23,2024-08-20,부산광역시 남구 진남로,로얄헤어샵,세무고입구,23,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.1407797,129.067146,6,2024-08-20,부산광역시 남구 전포대로40번길,문현태영데시앙아파트,문현여중,100,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.1446469,129.066099,44,2024-08-20,부산광역시 남구 전포대로91번길,문현혁신지구,문전역,300,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 동래구,35.1939613001,129.1059494904,6,2023-12-31,부산광역시 동래구 충렬대로446번길,안남로,연안로51번길,0.08, , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1939993498,129.0589133659,128,2023-12-31,부산광역시 동래구 체육공원로,사직로,실내체육관,0.54, , , , ,62, , , , , , , ,31, , , , , , , , , , , , , , , , , ,34, , , , ,1, , 
부산광역시 동래구,35.2143228683,129.0634789034,24,2023-12-31,부산광역시 동래구 구만덕로,미남교차로,대동타운아파트,0.15, , , , , , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2121861194,129.0943060459,195,2023-12-31,부산광역시 동래구 시실로,온천장입구교차로,명서로,1.2, , , , , , , , , , , , , , , ,195, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2109946475,129.0874140690,247,2023-12-31,부산광역시 동래구 문화로,시실로,동래문화회관,0.57, , , , , , , , , , , ,6,3, , ,238, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2065734733,129.0799312928,48,2023-12-31,부산광역시 동래구 충렬대로181번길,명성빌딩,오박곰장어,0.35, , , , , , , , , , , , , , , ,48, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1938747572,129.1000537246,52,2023-12-31,부산광역시 동래구 안남로,안진초등학교,안락뜨란채정문,0.29, , , , , , , , , , , ,46, , , ,6, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2021331198,129.1107073078,34,2023-12-31,부산광역시 동래구 명장로,명장1동주민센터,충렬고등학교,0.26, , , , , , , , , , , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2128363471,129.0643547337,82,2023-12-31,부산광역시 동래구 금정마을로,구만덕로,우장춘로,0.42, , , , , , , , , , , , , , , ,82, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2134204183,129.0700926724,27,2023-12-31,부산광역시 동래구 우장춘로59번길,금정마을로139번길,우장춘로,0.26, , , , , , , , , , , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , 
남구,35.1224975,129.093611,23,2024-08-20,부산광역시 남구 홍곡로320번길,용당하늘채아파트,용당하늘채아파트,150,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.110269,129.09223,901,2024-08-20,부산광역시 남구 북항로,현대오일뱅크,감만시민부두,2150,,,,,,,,,,,,50,42,,,162,,,,,,,,,,,,,154,,,,,,,,,493
남구,35.1253822,129.112378,135,2024-08-20,부산광역시 남구 분포로,분포교,용호지구대,1500,,,,,,,,,,,,59,76,,,,,,,,,,,,,,,,,,,,,,,,,
부산진구,35.1560728,129.050297,46,2024-07-31,부산광역시 부산진구 신천대로 165번길,신천대로 165번길 43,신천대로 165번길 3,0.48, , , , , , , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , 
남구,35.1382222,129.101075,103,2024-08-20,부산광역시 남구 수영로325번길,경성대부경대역2번출구,맥도날드,900,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.1374733,129.108076,632,2024-08-20,부산광역시 남구 신선로,49호광장,오륙도아파트,4600,,,,,,,,,,,,92,1,,,208,,,,,,,,,,27,43,,172,,,10,,,,79,,
남구,35.1261348,129.096084,77,2024-08-20,부산광역시 남구 신선로447번길,수목원,평화공원 일원,450,,,,,,,,,,,,13,36,,,,,,,,,,,,,,28,,,,,,,,,,,
남구,35.1116339,129.082781,375,2024-08-20,부산광역시 남구 우암로,감만현대아파트,문현교차로,3800,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,370,,
남구,35.1509676,129.091161,98,2024-08-20,부산광역시 남구 황령대로319번가길,경동메르빌아파트,대우그린아파트,1000,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.1298956,129.091878,218,2024-08-20,부산광역시 남구 석포로,유엔교차로,감만홈플러스,1400,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.1372612,129.069536,466,2024-08-20,부산광역시 남구 수영로,문현교차로,대남교차로,3500,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,403,,
남구,35.1256321,129.08786,25,2024-08-20,부산광역시 남구 남구청1길,남구청일원,남구청일원,200,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
남구,35.1369176,129.099828,178,2024-08-20,부산광역시 남구 용소로,경성대부경대역,영남제분앞,1060,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,175,,
부산광역시 기장군,35.266623,129.225816,171,2023-12-31,부산광역시 기장군 해빛1로,일광이지더원2차,일광자이푸르지오2단지, , , , , , , , , , , , , ,171, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.27104,129.222974,63,2023-12-31,부산광역시 기장군 해빛2로,동원비스타1차,일광초등학교 뒤편, , , , , , , , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.265945,129.228324,50,2023-12-31,부산광역시 기장군 해송로,일광신도시문화센터,일광천막사, , , , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.267587,129.231977,66,2023-12-31,부산광역시 기장군 해송1로,일광신도시문화센터,일광역광장, , , , , , , , , , , , , , , , , , , , , , , , , , , ,66, , , , , , , , , , , 
부산광역시 기장군,35.268065,129.230373,29,2023-12-31,부산광역시 기장군 해송2로,일광신도시문화센터,일광동원비스타2차입구, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29, , , , , , , , , , , 
부산광역시 기장군,35.267841,129.231173,29,2023-12-31,부산광역시 기장군 해송3로,하운드호텔,일광동원비스타2차 상가동 앞, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29, , , , , , , , , , , 
부산광역시 기장군,35.267929,129.232095,55,2023-12-31,부산광역시 기장군 해송4로,하운드호텔,일광역광장, , , , , , , , , , , , , , , , ,55, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.340092,129.258504,150,2023-12-31,부산광역시 기장군 방모산2길,반룡마을,용수마을, , , , , , , , , , , , ,150, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.197558,129.205996,25,2023-12-31,부산광역시 기장군 기장대로,송정1호교,기장체육관, , , , , , , , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.31918,129.20819,88,2023-12-31,부산광역시 기장군 산단7로,코리일반산업단지,코리일반산업단지, , , , , , , , , , , , ,88, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.35766,129.25775,54,2023-12-31,부산광역시 기장군 에코산단로,부울경 부산기장 물류센터,공원, , , , , , , , , , , , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.35712,129.25985,70,2023-12-31,부산광역시 기장군 에코산단2로,기룡리 1154,기룡리 196-4, , , , , , , , , , , , , , , , ,70, , , , , , , , , , , , , , , , , , , , , , 
남구,35.1318624,129.077996,202,2024-08-20,부산광역시 남구 용호로,남부면허시험장,성모병원앞,2750,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,72,,
부산광역시 수영구,35.1417250052,129.1138305218,10,2023-12-31,부산광역시 수영구 남천동로,수영구청,남천금호어울림 아파트,100, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , 
부산광역시 수영구,35.1423947406,129.1062573432,26,2023-12-31,부산광역시 수영구 수영로393번길,수영로,쉬마루공원,180, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, , , , , , , , , 
부산광역시 수영구,35.1411614917,129.1064086609,6,2023-12-31,부산광역시 수영구 수영로383번길,수영로,황령대로457번길,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , 
남구,35.1256321,129.08786,576,2024-08-20,부산광역시 남구 신선대산복로,동명오거리,성모병원앞,2500,,,,,,,,,,,,520,17,,,,,,,,,,,,,,39,,,,,,,,,,,
남구,35.1078478,129.111646,284,2024-08-20,부산광역시 남구 오륙도로,성모병원앞,오륙도SK아파트,1360,,,,,,,,,,,,157,,,,,,,,,,,,,,,,127,,,,,,,,,,
남구,35.1187264,129.079924,25,2024-08-20,부산광역시 남구 8부두로,감만사거리,군부대일원,369,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
