구군명,위반일자,위반장소명
강서구,2023-01-06 20:43,명지동 3603-3
강서구,2023-01-06 20:50,녹산초등학교인근
강서구,2023-01-06 20:59,국제화물청사앞
강서구,2023-01-06 21:05,국제화물청사앞
강서구,2023-01-06 21:15,김해공항 국내선4GATE 앞
강서구,2023-01-06 21:36,꿈바위 어린이집인근
강서구,2023-01-06 21:42,신호동 282
강서구,2023-01-06 22:39,명지동 3440-5
강서구,2023-01-07 01:24,신호동 266
강서구,2023-01-07 04:37,명지동 3446-6
강서구,2023-01-07 07:01,녹명초등학교 정문앞
강서구,2023-01-07 07:01,녹명초등학교 정문앞
강서구,2023-01-07 07:21,에일린의 뜰 104동 주변
강서구,2023-01-07 07:24,삼우MCP 건너편
강서구,2023-01-07 07:50,범방동 1849-11
강서구,2023-01-07 07:57,범방동 1849-10
강서구,2023-01-07 08:41,한솔학교사거리인근
강서구,2023-01-07 08:41,꿈바위 어린이집인근
강서구,2023-01-07 08:53,신호동 부영2차아파트 주
강서구,2023-01-07 09:07,국내선2층
강서구,2023-01-07 09:19,글로벌새싹어린이집 인근
강서구,2023-01-07 09:23,명지차량등록사업소
강서구,2023-01-07 09:26,국제선1층
강서구,2023-01-07 09:48,명지스타필드 주변
강서구,2023-01-07 10:00,노블랜드오션뷰104동주변
강서구,2023-01-07 10:02,강서구청정문
강서구,2023-01-07 10:06,노블랜드오션뷰101동주변
강서구,2023-01-07 10:15,노블랜드오션뷰104동주변
강서구,2023-01-07 10:19,명지동 3354
강서구,2023-01-07 10:35,금강펜테리움 2차 교차로
강서구,2023-01-07 11:35,대저2동 1854-4
강서구,2023-01-07 14:09,신호동 267
강서구,2023-01-07 14:13,김해공항 국내선4GATE 앞
강서구,2023-01-07 14:14,김해공항 U턴교차로 주변
강서구,2023-01-07 14:18,명일초등학교앞삼거리
강서구,2023-01-07 14:24,국내선2층
강서구,2023-01-07 14:29,노블랜드오션뷰101동주변
강서구,2023-01-07 14:33,김해공항 국내선4GATE 앞
강서구,2023-01-07 14:34,에일린의 뜰 104동 주변
강서구,2023-01-07 14:48,명지동 3594
강서구,2023-01-07 14:58,에일린의 뜰 104동 주변
강서구,2023-01-07 15:03,명지동 3412-2
강서구,2023-01-07 15:05,명지초등학교사거리인근
강서구,2023-01-07 15:05,송정동 1566
강서구,2023-01-07 15:07,김해공항 국내선4GATE 앞
강서구,2023-01-07 15:13,화전동 628
강서구,2023-01-07 15:14,글로벌새싹어린이집 인근
강서구,2023-01-07 15:16,명지초등학교사거리인근
강서구,2023-01-07 15:25,명지스타필드 주변
강서구,2023-01-07 15:32,김해공항 국내선4GATE 앞
강서구,2023-01-07 15:34,꿈바위 어린이집인근
강서구,2023-01-07 15:37,노블랜드오션뷰104동주변
강서구,2023-01-07 15:40,대방노블랜드2차인근
강서구,2023-01-07 16:08,한솔학교사거리인근
강서구,2023-01-07 16:11,명지스타필드 주변
강서구,2023-01-07 16:26,금강펜테리움 2차 교차로
강서구,2023-01-07 16:26,명지초등학교사거리인근
강서구,2023-01-07 16:34,글로벌새싹어린이집 인근
강서구,2023-01-07 16:42,국내선2층
강서구,2023-01-07 16:42,에일린의 뜰 104동 주변
강서구,2023-01-07 17:12,금강펜테리움 2차 교차로
강서구,2023-01-07 17:19,명지초등학교사거리인근
강서구,2023-01-07 17:26,신호동 308-7
강서구,2023-01-07 17:26,신호동 308-7
강서구,2023-01-07 17:39,명지동 3323
강서구,2023-01-07 17:42,대저2동 3136-2
강서구,2023-01-07 17:46,에일린의 뜰 104동 주변
강서구,2023-01-07 17:52,명지동 3444-6
강서구,2023-01-07 18:07,중흥S클래스프라디움
강서구,2023-01-07 18:08,대저2동 2015-8
