일련번호,단속일자,단속장소주소
432,2023-01-02,유엘부산호텔 주변
433,2023-01-02,가평초등학교 주변
434,2023-01-02,CU양정산호점 주변
435,2023-01-02,부전동 영광도서주차장
436,2023-01-02,범천동e편한세상 보조
437,2023-01-02,전포동 태영아너스 주변
438,2023-01-02,서면 포토피아슈퍼 주변
439,2023-01-02,전포동 태영아너스 주변
440,2023-01-02,범천동e편한세상 보조
441,2023-01-02,아이사랑병원앞
442,2023-01-02,가야동 카페토파코 주변
443,2023-01-02,전포동 태영아너스 주변
444,2023-01-02,부전1동 주민센터 주변
445,2023-01-02,범천동 e편한세상 주변
446,2023-01-02,초읍동 어린이대공원
447,2023-01-02,범천동 e편한세상 주변
448,2023-01-02,가평초등학교 주변
449,2023-01-02,범천동e편한세상 보조
450,2023-01-02,범천동 e편한세상 주변
451,2023-01-02,부전동 마당집
452,2023-01-02,범천동 e편한세상 주변
453,2023-01-02,범천동e편한세상 보조
454,2023-01-02,전포동 태영아너스 주변
455,2023-01-02,범천동e편한세상 보조
456,2023-01-02,범천동e편한세상 보조
457,2023-01-02,전포로
458,2023-01-02,가평초등학교 주변
459,2023-01-02,범천동 e편한세상 주변
460,2023-01-02,범천동e편한세상 보조
461,2023-01-02,범천동 e편한세상 주변
462,2023-01-02,범천동e편한세상 보조
463,2023-01-02,네오스포 주변
464,2023-01-02,범천동e편한세상 보조
465,2023-01-02,범천동 e편한세상 주변
466,2023-01-02,전포동 태영아너스 주변
467,2023-01-02,범천동e편한세상 보조
468,2023-01-02,부전동 부산진경찰서
469,2023-01-02,범천동e편한세상 보조
470,2023-01-02,범천동 e편한세상 주변
471,2023-01-02,범천동 e편한세상 주변
472,2023-01-02,서면특화거리 경화빌딩앞
473,2023-01-02,전포동 전포초등학교정문
474,2023-01-02,대도예식장
475,2023-01-02,가평초등학교 주변
476,2023-01-02,범천동e편한세상 보조
477,2023-01-02,범천동e편한세상 보조
478,2023-01-02,전포동 부산진소방서 앞
479,2023-01-02,부전동삼정타워주변
480,2023-01-02,부전동삼정타워주변
481,2023-01-02,유엘부산호텔 주변
482,2023-01-02,범천동 e편한세상 주변
483,2023-01-02,서면아이파크 보조
484,2023-01-02,성서초등학교
485,2023-01-02,범천동e편한세상 보조
486,2023-01-02,전포동 태영아너스 주변
487,2023-01-02,전포동 전포초등학교정문
488,2023-01-02,전포동 부산진소방서 앞
489,2023-01-02,전포동 경무빌딩 주변
490,2023-01-02,개금현대아이아파트 주변
491,2023-01-02,범천동 삼성생명(돔)
492,2023-01-02,신천대로다인로얄팰리스
493,2023-01-02,네오스포 주변
494,2023-01-02,골드테마거리 주변
495,2023-01-02,동성초등학교
496,2023-01-02,동성초등학교
497,2023-01-02,전포동 전포초등학교정문
498,2023-01-02,전포동 전포초등학교정문
499,2023-01-02,부전동삼정타워주변
500,2023-01-02,부전마켓타운 공영주차장
501,2023-01-02,개금현대아이아파트 주변
502,2023-01-02,양정 대원칸타빌
503,2023-01-02,전포롯데캐슬아파트부근
504,2023-01-02,가야로 태화현대아파트
505,2023-01-02,전포동 전포초등학교정문
506,2023-01-02,더샵센트럴스타 주변
507,2023-01-02,범천동e편한세상 보조
508,2023-01-02,범천동 e편한세상 주변
509,2023-01-02,범천동e편한세상 보조
510,2023-01-02,범천동 e편한세상 주변
511,2023-01-02,범천동e편한세상 보조
512,2023-01-02,범천동e편한세상 보조
513,2023-01-02,부전동 춘하추동주변
514,2023-01-02,당감동 국민은행
515,2023-01-02,범천동e편한세상 보조
516,2023-01-02,범천동e편한세상 보조
517,2023-01-02,범천동 e편한세상 주변
518,2023-01-02,서면 천우장앞
519,2023-01-02,범천동 삼성생명앞
520,2023-01-02,양정오성병원앞
521,2023-01-02,유엘부산호텔 주변
522,2023-01-02,범천동 e편한세상 주변
523,2023-01-02,아이온시티빌딩 주변
524,2023-01-02,성서초등학교
525,2023-01-02,서면중앙시장주변
