위반일자,위반일시,위반장소명
2024-01-14 16:52,봉래 에일린의뜰아파트 1,
2024-01-14 17:07,부산은행 청학동주변-3,
2024-01-14 17:42,동삼동농협 주변 보조카,
2024-01-14 18:35,4 농협영도지점주변,
2024-01-14 18:56,2 영도 메디컬빌딩 부근,
2024-01-14 19:24,동삼동농협 주변 보조카,
2024-01-14 19:40,영선불고기-3,
2024-01-14 00:50,동삼동 383-1 인도,
2024-01-14 00:52,동삼동 383-1 인도,
2024-01-14 09:14,청학동 322-1 인도,
2024-01-14 13:03,동삼동 979-30 인도,
2024-01-14 18:00,동삼동 229-135 인도,
2024-01-14 22:13,동삼동 266-5 인도,
2024-01-14 18:00,동삼동 226-135 인도,
2024-01-14 22:16,동삼동 231-223 인도,
2024-01-14 22:16,동삼동 231-223 인도,
2024-01-14 06:58,남항동1가 126-3 교차로모퉁이,
2024-01-14 10:14,신선동1가 27-17 교차로모퉁이,
2024-01-14 13:53,청학동 231-2 횡단보도,
2024-01-14 22:38,영선동2가245 교차로,
2024-01-14 15:32,동삼동1183 소화전,
2024-01-14 12:04,영선동2가192-3 버스정류소,
2024-01-14 16:12,동삼동 1184 횡단보도,
2024-01-14 18:07,남항동2가 273-1 교차로모퉁이,
2024-01-14 19:01,봉래동3가 41-1 횡단보도,
2024-01-14 19:59,영선동1가 71-3 교차로모퉁이,
2024-01-14 22:21,동삼동 231-102 교차로모퉁이,
2024-01-14 19:03,봉래동3가 196 횡단보도,
2024-01-14 19:47,영선동1가 136-1 교차로모퉁이,
2024-01-15 09:24,남항동KT-1,
2024-01-15 09:39,동삼동농협 주변 보조카,
2024-01-15 10:19,2송도삼거리 주변-1,
2024-01-15 14:13,동삼동농협 주변 보조카,
2024-01-15 14:20,대동대교맨션 주변-2,
2024-01-15 14:44,3 농협영도지점주변,
2024-01-15 15:04,동삼동농협 주변 보조카,
2024-01-15 16:25,동삼동농협 주변 보조카,
2024-01-15 16:50,영선동우체국-3,
2024-01-15 17:00,영선아파트주변-2,
2024-01-15 17:02,동삼동농협 주변 보조카,
2024-01-15 17:09,2 남항사거리부근,
2024-01-15 17:14,영선불고기-1,
2024-01-15 17:16,영선아파트주변-2,
2024-01-15 17:35,대교초등학교 주변-2,
2024-01-15 18:44,동삼동 농협,
2024-01-15 18:52,영선윗로타리 중앙-4,
2024-01-15 19:36,1 영도 메디컬빌딩 부근,
2024-01-15 10:27,봉래동3가 태종로,
2024-01-15 10:27,봉래동3가 태종로,
2024-01-15 10:30,영선동2가 절영로43번길,
2024-01-15 10:31,영선동2가 영선대로,
2024-01-15 10:32,영선동4가 영선대로,
2024-01-15 10:33,영선동4가 영선대로,
2024-01-15 10:49,봉래동5가 봉래쉼터길,
2024-01-15 10:49,봉래동5가 봉래쉼터길,
2024-01-15 10:49,봉래동5가 봉래쉼터길,
2024-01-15 10:49,봉래동5가 봉래쉼터길,
2024-01-15 10:49,봉래동5가 봉래쉼터길,
2024-01-15 10:49,봉래동5가 봉래쉼터길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 10:53,청학동 청명길,
2024-01-15 14:03,봉래동2가 봉래나루로,
2024-01-15 14:03,봉래동2가 봉래나루로,
2024-01-15 14:03,봉래동3가 봉래나루로,
2024-01-15 14:04,봉래동3가 봉래나루로,
2024-01-15 14:05,봉래동1가 봉래나루로,
2024-01-15 14:05,봉래동1가 봉래나루로,
2024-01-15 14:06,봉래동1가 봉래나루로,
2024-01-15 14:11,봉래동1가 대교로46번길,
2024-01-15 14:11,봉래동2가 대교로46번길,
2024-01-15 14:12,봉래동2가 대교로46번길,
2024-01-15 14:12,봉래동2가 봉래나루로,
2024-01-15 14:13,봉래동1가 대교로40번길,
2024-01-15 01:32,봉래동1가 126-1 횡단보도,
2024-01-15 15:58,동삼동 1153 횡단보도,
2024-01-15 10:28,영선동2가 245 인도,
2024-01-15 10:46,영선동2가 245 인도,
2024-01-15 17:57,동삼동 327 인도,
2024-01-15 17:58,동삼동 332-5 인도,
