부서명,단속일시,단속장소주소
교통행정과,2023-01-04 20:32:00,남산동 136-1
교통행정과,2023-01-04 18:22:00,장전동 241-12
교통행정과,2023-01-04 09:59:00,구서동 474
교통행정과,2023-01-04 16:28:00,장전동 금정로91번길
교통행정과,2023-01-04 17:31:00,농협 남산지점 보강
교통행정과,2023-01-05 09:07:00,금사사거리
교통행정과,2023-01-05 09:37:00,금정로68번길
교통행정과,2023-01-05 09:43:00,농협 남산지점
교통행정과,2023-01-05 11:22:00,온천장역 4번출구
교통행정과,2023-01-05 11:54:00,두실초등학교 입구
교통행정과,2023-01-05 14:37:00,금정로68번길
교통행정과,2023-01-05 15:36:00,청룡탕사거리
교통행정과,2023-01-05 15:41:00,남산동 부산은행
교통행정과,2023-01-05 16:15:00,남산고등학교 진입삼거리
교통행정과,2023-01-05 18:22:00,남산동 부산은행
교통행정과,2023-01-05 19:49:00,부곡동 한서요양병원
교통행정과,2023-01-05 20:13:00,농협 남산지점
교통행정과,2023-01-05 21:02:00,구서 오시게시장 사거리
교통행정과,2023-01-05 07:03:00,서동 세웅병원 보강
교통행정과,2023-01-05 08:23:00,서동 세웅병원 보강
교통행정과,2023-01-05 09:10:00,농협 남산지점 보강
교통행정과,2023-01-05 09:13:00,장전동어린이놀이터앞
교통행정과,2023-01-05 09:14:00,구서동롯데캐슬상가앞
교통행정과,2023-01-05 09:52:00,구서동 행림요양병원
교통행정과,2023-01-05 09:52:00,종합버스터미널 건너편
교통행정과,2023-01-05 10:02:00,서동 세웅병원 보강
교통행정과,2023-01-05 10:03:00,종합버스터미널
교통행정과,2023-01-05 10:04:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-05 10:06:00,부산대1번출구사각지대
교통행정과,2023-01-05 10:20:00,장전동신한은행앞
교통행정과,2023-01-05 10:23:00,범어사역사각지대
교통행정과,2023-01-05 10:33:00,장전동어린이놀이터앞
교통행정과,2023-01-05 10:37:00,장전동어린이놀이터앞
교통행정과,2023-01-05 10:52:00,농협 남산지점 보강
교통행정과,2023-01-05 10:54:00,부산대지하철4번출구
교통행정과,2023-01-05 11:01:00,부산외국어대학교앞
교통행정과,2023-01-05 11:03:00,젊음의광장사거리
교통행정과,2023-01-05 11:28:00,농협 남산지점 보강
교통행정과,2023-01-05 11:29:00,종합버스터미널
교통행정과,2023-01-05 11:30:00,남산동 남산역 1번출구
교통행정과,2023-01-05 11:32:00,부곡동SK아파트 부근
교통행정과,2023-01-05 11:36:00,서동 세웅병원 보강
교통행정과,2023-01-05 11:40:00,농협 남산지점 보강
교통행정과,2023-01-05 11:41:00,대흥상가아파트
교통행정과,2023-01-05 11:42:00,부산대 정문앞
교통행정과,2023-01-05 11:45:00,대흥상가아파트
교통행정과,2023-01-05 14:11:00,부산대 정문앞
교통행정과,2023-01-05 14:14:00,농협 남산지점 보강
교통행정과,2023-01-05 14:15:00,구서동 배비장보쌈
교통행정과,2023-01-05 14:29:00,구서동 행림요양병원
교통행정과,2023-01-05 14:33:00,농협 남산지점 보강
교통행정과,2023-01-05 14:44:00,농협 남산지점 보강
교통행정과,2023-01-05 14:51:00,부곡동SK아파트 부근
교통행정과,2023-01-05 14:53:00,대흥상가아파트
교통행정과,2023-01-05 14:55:00,부산대1번출구사각지대
교통행정과,2023-01-05 15:00:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-05 15:15:00,서동 세웅병원 보강
교통행정과,2023-01-05 15:18:00,구서동 배비장보쌈
교통행정과,2023-01-05 15:23:00,부산대 정문앞
교통행정과,2023-01-05 15:25:00,서동 세웅병원 보강
교통행정과,2023-01-05 15:29:00,부산대후문사거리
교통행정과,2023-01-05 15:34:00,범어사역사각지대
교통행정과,2023-01-05 15:36:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-05 15:36:00,"구서,두실초등학교사거리"
교통행정과,2023-01-05 15:38:00,장전동역 2번출구
교통행정과,2023-01-05 15:51:00,부산대 북측공영주차장
교통행정과,2023-01-05 16:03:00,장전동역 2번출구
교통행정과,2023-01-05 16:07:00,식물원입구 사거리
교통행정과,2023-01-05 16:10:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-05 16:23:00,범어사역사각지대
교통행정과,2023-01-05 16:25:00,부산대지하철4번출구
교통행정과,2023-01-05 16:26:00,농협 남산지점 보강
교통행정과,2023-01-05 16:39:00,맥도날드앞
교통행정과,2023-01-05 16:58:00,농협 남산지점 보강
교통행정과,2023-01-05 17:05:00,대흥상가아파트
교통행정과,2023-01-05 17:14:00,남산동 남산역 1번출구
교통행정과,2023-01-05 17:18:00,농협 남산지점 보강
교통행정과,2023-01-05 17:20:00,맥도날드앞
교통행정과,2023-01-05 17:34:00,종합버스터미널 건너편
교통행정과,2023-01-05 17:38:00,농협 남산지점 보강
교통행정과,2023-01-05 17:42:00,대흥상가아파트
교통행정과,2023-01-05 18:08:00,종합터미널사각지대
교통행정과,2023-01-05 18:15:00,부곡동SK아파트 부근
교통행정과,2023-01-05 18:17:00,부산대1번출구사각지대
교통행정과,2023-01-05 18:23:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-05 18:34:00,금정등기소앞
교통행정과,2023-01-05 18:34:00,부산대 정문앞
교통행정과,2023-01-05 18:49:00,농협 남산지점 보강
교통행정과,2023-01-05 19:11:00,"구서,두실초등학교사거리"
교통행정과,2023-01-05 19:23:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-05 19:25:00,구서동 배비장보쌈
교통행정과,2023-01-05 19:46:00,서동 세웅병원 보강
교통행정과,2023-01-05 19:53:00,부산대1번출구근방
교통행정과,2023-01-05 20:03:00,농협 남산지점 보강
교통행정과,2023-01-05 20:05:00,장전동역 2번출구
교통행정과,2023-01-05 20:16:00,장전동어린이놀이터앞
교통행정과,2023-01-05 20:20:00,젊음의광장사거리
교통행정과,2023-01-05 21:07:00,서동 세웅병원 보강
교통행정과,2023-01-05 21:12:00,구서동 이마트
교통행정과,2023-01-05 21:43:00,서동 세웅병원 보강
교통행정과,2023-01-05 21:44:00,구서동 이마트
교통행정과,2023-01-05 09:57:00,구서동 중앙대로1793번길
교통행정과,2023-01-05 09:57:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 09:57:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 09:57:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 09:58:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 09:58:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 09:58:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 09:58:00,부곡동 중앙대로1793번길
교통행정과,2023-01-05 10:05:00,서동 금사로
