읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교동사고 건수,음주운전 적발 건수,year
연산8동,5152,13714,13,21,13,1.54,1.14,2022
연산9동,14193,34098,35,55,31,3.82,2.82,2022
연지동,9151,24402,16,25,22,8.08,3.43,2022
영선1동,1018,3869,12,31,22,0.31,0.46,2022
영선2동,2319,7855,9,13,22,0.62,0.94,2022
영주1동,1358,4567,7,12,7,0.71,0.41,2022
영주2동,1787,6841,2,6,22,1.06,0.61,2022
온천1동,8459,22339,18,87,48,2.89,2.45,2022
온천2동,9383,24366,9,48,82,3.28,2.78,2022
온천3동,12977,37727,20,52,57,5.04,4.27,2022
용당동,6371,8061,22,22,37,0.74,1.08,2022
용호1동,17357,43228,44,90,41,3.97,5.78,2022
용호2동,6617,16594,8,30,33,1.53,2.22,2022
용호3동,3646,11838,3,37,13,1.09,1.58,2022
용호4동,2722,8284,9,13,12,0.76,1.11,2022
우1동,33743,21949,27,81,35,5.12,4.43,2022
우2동,15066,30274,76,126,46,7.06,6.12,2022
우암동,4931,12682,12,63,52,1.17,1.7,2022
우제3동,10497,28384,45,15,11,6.62,5.73,2022
일광읍,14040,28137,21,96,143,8.86,9.33,2022
장림1동,5399,10458,24,56,53,2.95,1.46,2022
장림2동,10595,26665,22,59,79,7.53,3.71,2022
장안읍,7005,8721,48,73,123,2.75,2.89,2022
장전1동,5232,17993,10,46,19,2.22,2.58,2022
장전2동,9713,26049,35,87,61,3.22,3.73,2022
재송1동,17265,37136,46,77,66,8.66,7.5,2022
재송2동,9280,23419,12,46,31,5.46,4.73,2022
전포1동,8056,21221,24,85,64,7.02,2.98,2022
전포2동,7492,22765,20,47,45,7.53,3.2,2022
정관읍,37213,80992,162,169,194,25.51,26.87,2022
좌1동,6632,17620,50,94,35,4.11,3.56,2022
좌2동,11440,31270,30,50,33,7.29,6.32,2022
좌3동,5852,15631,21,6,18,3.65,3.16,2022
좌4동,8781,22661,20,18,26,5.28,4.58,2022
좌천동,3797,11659,5,10,21,1.2,0.54,2022
주례1동,7053,16182,13,30,45,4.24,4.06,2022
주례2동,7648,22192,5,44,60,5.81,5.57,2022
주례3동,4579,12643,7,31,35,3.31,3.18,2022
중1동,11506,27477,43,136,36,6.41,5.55,2022
중2동,6797,15516,4,50,44,3.62,3.13,2022
중앙동,29520,3137,9,89,22,0.49,0.28,2022
철마면,3859,7735,13,48,91,2.44,2.57,2022
청룡노포동,4464,9689,16,30,39,1.2,1.39,2022
청학1동,2617,5790,8,13,20,0.46,0.69,2022
청학2동,5804,17317,19,35,62,1.37,2.06,2022
초량1동,16856,4934,2,21,0,0.51,0.23,2022
초량2동,3235,5511,2,39,14,0.57,0.26,2022
초량3동,5764,12983,14,60,26,1.34,0.6,2022
초량6동,2806,5609,2,8,14,0.58,0.26,2022
초읍동,7327,21177,17,82,55,7.01,2.98,2022
초장동,794,4072,1,2,8,0.48,0.34,2022
충무동,2700,9718,15,38,15,1.14,0.81,2022
하단1동,8156,21541,25,49,17,6.08,3,2022
하단2동,8485,25252,21,101,41,7.13,3.51,2022
학장동,12311,27425,34,50,63,7.18,6.89,2022
화명1동,18426,40555,11,32,32,13.56,7.36,2022
화명2동,6674,17512,11,33,50,5.86,3.18,2022
화명3동,11584,28938,60,93,22,9.68,5.25,2022
가덕도동,2722,4329,4,69,88,1.37,0.8,2023
가락동,2094,2171,33,37,57,0.69,0.4,2023
