year,month,day,hour,value
2021,1, 15,1500.0,11.2
2021,1, 15,1600.0,10.4
2021,1, 15,1700.0,10.0
2021,1, 15,1800.0,8.1
2021,1, 15,1900.0,6.7
2021,1, 15,2000.0,5.8
2021,1, 15,2100.0,5.1
2021,1, 15,2200.0,4.8
2021,1, 15,2300.0,5.4
2021,1, 16,0.0,6.7
2021,1, 16,100.0,7.0
2021,1, 16,200.0,7.9
2021,1, 16,300.0,8.0
2021,1, 16,400.0,8.7
2021,1, 16,500.0,8.3
2021,1, 16,600.0,7.6
2021,1, 16,700.0,6.4
2021,1, 16,800.0,5.2
2021,1, 16,900.0,4.3
2021,1, 16,1000.0,3.1
2021,1, 16,1100.0,2.0
2021,1, 16,1200.0,1.1
2021,1, 16,1300.0,0.4
2021,1, 16,1400.0,-0.2
2021,1, 16,1500.0,-0.8
2021,1, 16,1600.0,-1.0
2021,1, 16,1700.0,-1.5
2021,1, 16,1800.0,-2.0
2021,1, 16,1900.0,-2.4
2021,1, 16,2000.0,-2.6
2021,1, 16,2100.0,-2.9
2021,1, 16,2200.0,-3.2
2021,1, 16,2300.0,-1.6
2021,1, 17,0.0,-0.2
2021,1, 17,100.0,-0.1
2021,1, 17,200.0,2.1
2021,1, 17,300.0,2.8
2021,1, 17,400.0,3.1
2021,1, 17,500.0,2.7
2021,1, 17,600.0,2.4
2021,1, 17,700.0,1.1
2021,1, 17,800.0,0.0
2021,1, 17,900.0,-0.8
2021,1, 17,1000.0,-0.7
2021,1, 17,1100.0,-0.5
2021,1, 17,1200.0,-1.2
2021,1, 17,1300.0,-1.4
2021,1, 17,1400.0,-0.9
2021,1, 17,1500.0,-1.2
2021,1, 17,1600.0,-1.9
2021,1, 17,1700.0,-2.0
2021,1, 17,1800.0,-1.8
2021,1, 17,1900.0,-2.1
2021,1, 17,2000.0,-1.9
2021,1, 17,2100.0,-1.6
2021,1, 17,2200.0,-0.6
2021,1, 17,2300.0,0.5
2021,1, 18,0.0,2.3
2021,1, 18,100.0,3.3
2021,1, 18,200.0,4.3
2021,1, 18,300.0,5.8
2021,1, 18,400.0,3.6
2021,1, 18,500.0,3.2
2021,1, 18,600.0,4.5
2021,1, 18,700.0,4.3
2021,1, 18,800.0,3.9
2021,1, 18,900.0,4.0
2021,1, 18,1000.0,3.4
2021,1, 18,1100.0,2.5
2021,1, 18,1200.0,1.6
2021,1, 18,1300.0,0.4
2021,1, 18,1400.0,-0.5
2021,1, 18,1500.0,-1.2
2021,1, 18,1600.0,-1.8
2021,1, 18,1700.0,-2.4
2021,1, 18,1800.0,-3.0
2021,1, 18,1900.0,-3.4
2021,1, 18,2000.0,-4.0
2021,1, 18,2100.0,-3.6
2021,1, 18,2200.0,-2.9
2021,1, 18,2300.0,-2.1
2021,1, 19,0.0,0.2
2021,1, 19,100.0,1.4
2021,1, 19,200.0,3.6
2021,1, 19,300.0,5.0
2021,1, 19,400.0,5.1
2021,1, 19,500.0,5.3
2021,1, 19,600.0,4.8
2021,1, 19,700.0,3.2
2021,1, 19,800.0,1.5
2021,1, 19,900.0,1.0
2021,1, 19,1000.0,0.5
2021,1, 19,1100.0,0.5
2021,1, 19,1200.0,0.8
2021,1, 19,1300.0,0.7
2021,1, 19,1400.0,0.5
2021,1, 19,1500.0,0.1
2021,1, 19,1600.0,0.0
2021,1, 19,1700.0,-0.2
2021,1, 19,1800.0,-0.4
2021,1, 19,1900.0,-0.6
2021,1, 19,2000.0,-0.3
2021,1, 19,2100.0,-0.2
2021,1, 19,2200.0,1.1
2021,1, 19,2300.0,4.6
2021,1, 20,0.0,7.6
2021,1, 20,100.0,9.4
2021,1, 20,200.0,11.1
2021,1, 20,300.0,11.5
2021,1, 20,400.0,11.2
2021,1, 20,500.0,11.4
2021,1, 20,600.0,11.3
2021,1, 20,700.0,9.2
2021,1, 20,800.0,7.6
2021,1, 20,900.0,6.6
2021,1, 20,1000.0,6.2
2021,1, 20,1100.0,5.4
2021,1, 20,1200.0,5.0
2021,1, 20,1300.0,4.7
2021,1, 20,1400.0,4.6
2021,1, 20,1500.0,4.4
2021,1, 20,1600.0,4.4
2021,1, 20,1700.0,4.5
2021,1, 20,1800.0,5.5
2021,1, 20,1900.0,4.8
2021,1, 20,2000.0,4.3
2021,1, 20,2100.0,4.3
2021,1, 20,2200.0,6.1
2021,1, 20,2300.0,9.4
2021,1, 21,0.0,11.6
2021,1, 21,100.0,11.9
2021,1, 21,200.0,12.9
2021,1, 21,300.0,13.1
2021,1, 21,400.0,12.1
2021,1, 21,500.0,11.7
2021,1, 21,600.0,11.5
2021,1, 21,700.0,11.0
2021,1, 21,800.0,10.4
2021,1, 21,900.0,9.7
2021,1, 21,1000.0,9.0
2021,1, 21,1100.0,9.0
2021,1, 21,1200.0,8.8
2021,1, 21,1300.0,8.6
2021,1, 21,1400.0,8.5
2021,1, 21,1500.0,8.5
2021,1, 21,1600.0,8.6
2021,1, 21,1700.0,8.6
2021,1, 21,1800.0,8.8
2021,1, 21,1900.0,8.8
2021,1, 21,2000.0,8.9
2021,1, 21,2100.0,9.0
2021,1, 21,2200.0,9.1
2021,1, 21,2300.0,9.6
2021,1, 22,0.0,9.9
2021,1, 22,100.0,10.2
2021,1, 22,200.0,10.9
2021,1, 22,300.0,11.8
2021,1, 22,400.0,11.2
2021,1, 22,500.0,11.6
2021,1, 22,600.0,11.4
2021,1, 22,700.0,11.2
2021,1, 22,800.0,11.0
2021,1, 22,900.0,10.7
2021,1, 22,1000.0,10.6
2021,1, 22,1100.0,10.3
2021,1, 22,1200.0,10.4
2021,1, 22,1300.0,10.2
2021,1, 22,1400.0,10.1
2021,1, 22,1500.0,10.2
2021,1, 22,1600.0,10.1
2021,1, 22,1700.0,10.1
2021,1, 22,1800.0,10.2
2021,1, 22,1900.0,10.2
2021,1, 22,2000.0,10.0
2021,1, 22,2100.0,9.9
2021,1, 22,2200.0,9.8
2021,1, 22,2300.0,9.7
2021,1, 23,0.0,9.8
2021,1, 23,100.0,11.2
2021,1, 23,200.0,11.3
2021,1, 23,300.0,10.9
2021,1, 23,400.0,11.4
2021,1, 23,500.0,11.3
2021,1, 23,600.0,11.0
2021,1, 23,700.0,10.7
2021,1, 23,800.0,10.5
2021,1, 23,900.0,10.4
2021,1, 23,1000.0,10.1
2021,1, 23,1100.0,9.9
2021,1, 23,1200.0,9.9
2021,1, 23,1300.0,9.7
2021,1, 23,1400.0,9.7
2021,1, 23,1500.0,9.5
2021,1, 23,1600.0,9.3
2021,1, 23,1700.0,9.1
2021,1, 23,1800.0,8.9
2021,1, 23,1900.0,8.9
2021,1, 23,2000.0,8.8
2021,1, 23,2100.0,8.8
2021,1, 23,2200.0,8.7
2021,1, 23,2300.0,8.8
2021,1, 24,0.0,9.9
2021,1, 24,100.0,11.4
2021,1, 24,200.0,10.0
2021,1, 24,300.0,10.2
2021,1, 24,400.0,9.9
2021,1, 24,500.0,9.8
2021,1, 24,600.0,9.5
2021,1, 24,700.0,9.1
2021,1, 24,800.0,9.0
2021,1, 24,900.0,8.9
2021,1, 24,1000.0,8.8
2021,1, 24,1100.0,8.8
2021,1, 24,1200.0,8.9
2021,1, 24,1300.0,8.9
2021,1, 24,1400.0,8.9
