읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,음주운전 적발 건수
주례2동,7810,23075,5,41,60,8.41,5.35
주례3동,4673,13154,7,32,35,4.79,3.05
중1동,11382,27743,43,144,36,9.8,4.89
중2동,6833,15944,4,50,44,5.63,2.81
중앙동,27999,2937,9,88,22,0.47,0.19
철마면,3851,7922,13,48,91,2.23,2.09
청룡노포동,4391,9733,16,29,39,1.37,1.27
청학1동,2518,6113,8,13,20,0.65,0.53
청학2동,5726,17625,19,39,62,1.89,1.54
초량1동,14942,5027,2,20,0,0.2,0.3
초량2동,3032,5701,2,37,14,0.23,0.34
초량3동,5942,13029,14,59,26,0.53,0.77
초량6동,1635,5953,2,9,14,0.24,0.35
초읍동,7378,22133,17,83,55,6.24,3.05
초장동,854,4271,1,2,8,0.45,0.16
충무동,2714,9896,15,33,15,1.03,0.38
하단1동,8110,21531,25,51,17,5.09,3.37
하단2동,8542,25356,21,105,41,5.99,3.97
학장동,12505,28294,34,49,63,10.31,6.57
화명1동,18544,41610,11,33,32,11.17,6.69
화명2동,6396,17112,11,32,50,4.59,2.75
화명3동,11718,29748,60,94,22,7.98,4.78
가덕도동,2527,4130,4,24,88,1.31,0.88
가락동,2082,2240,33,13,57,0.71,0.48
가야1동,5378,18525,14,37,13,6.13,2.61
가야2동,6053,17988,8,38,18,5.95,2.53
감만1동,6938,10590,14,23,40,0.97,1.42
감만2동,2043,6716,8,10,19,0.62,0.9
감전동,11707,12787,54,63,52,3.35,3.21
감천1동,6498,17846,27,38,44,5.04,2.48
감천2동,1470,5639,1,5,13,1.59,0.78
강동동,2982,4081,13,29,86,1.3,0.87
개금1동,5371,16486,9,63,27,5.46,2.32
개금2동,3332,10556,1,17,17,3.49,1.48
개금3동,9660,27885,15,24,42,9.23,3.92
거제1동,34469,28471,35,44,35,3.19,2.36
거제2동,6999,11756,16,23,50,1.32,0.97
